Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Handedness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
639a41c8f23b2cb3b66b8794,62853fe01fa0d21c4daacfcb,AWAITING REVIEW,2022-12-14T21:36:11.770000Z,2022-12-14T21:59:45.514000Z,,2022-12-14T21:59:45.900884Z,1414,CZELI6JD,587,English,Left-handed,25,Male,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
639a42c98c5a6a1638c78018,6285892c0fc742d49a255328,AWAITING REVIEW,2022-12-14T21:40:26.948000Z,2022-12-14T21:51:54.396000Z,,2022-12-14T21:51:54.749723Z,688,CZELI6JD,151,"English, Spanish",Left-handed,21,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a45fff59f750859d02e7e,5ba855d47c0ebe0001272f70,AWAITING REVIEW,2022-12-14T21:54:37.107000Z,2022-12-14T22:13:53.703000Z,,2022-12-14T22:13:54.114152Z,1157,CZELI6JD,1503,"Albanian, Spanish, English, Italian",Left-handed,28,Male,White,Albania,United States,United States,Albanian,No,Full-Time
639a46aa02f71c819c12e782,62f41a3f40490ce7273873ec,AWAITING REVIEW,2022-12-14T21:57:00.225000Z,2022-12-14T22:10:33.172000Z,,2022-12-14T22:10:33.644842Z,813,CZELI6JD,140,English,Left-handed,20,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
639a486fc43f62ad3fe0a10c,6160b0eb22d84b34a1b79b2f,AWAITING REVIEW,2022-12-14T22:04:34.136000Z,2022-12-14T22:15:53.544000Z,,2022-12-14T22:15:53.971761Z,680,CZELI6JD,169,"English, Hindi, Punjabi",Left-handed,19,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
639a49a08c8b890ec902f87c,5b0481d17ac6e4000107e12a,RETURNED,2022-12-14T22:09:38.244000Z,2022-12-14T22:18:41.496000Z,,2022-12-14T22:18:41.870000Z,,CZELI6JD,372,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
639a4a41d49f09699dd02e23,5f4efbf90b8cc113d26921a4,AWAITING REVIEW,2022-12-14T22:12:19.950000Z,2022-12-14T22:22:06.943000Z,,2022-12-14T22:22:07.350986Z,587,CZELI6JD,2129,English,Left-handed,23,Male,White,United States,United States,United States,English,No,Part-Time
639a4b82986265b772e1dace,5d4cdc63ec9aa0000112ae43,AWAITING REVIEW,2022-12-14T22:17:48.769000Z,2022-12-14T22:33:23.487000Z,,2022-12-14T22:33:23.855247Z,935,CZELI6JD,471,English,Left-handed,37,Male,Other,United States,United States,United States,English,No,Full-Time
639a4d38edb8689f92afd9ac,5e1f7b2a4c9b832b34e7c9d3,AWAITING REVIEW,2022-12-14T22:25:01.306000Z,2022-12-14T22:34:47.554000Z,,2022-12-14T22:34:47.944674Z,587,CZELI6JD,1092,English,Left-handed,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
639a4da2f79851aa29317ee9,60c80c19de11452191e78dd5,AWAITING REVIEW,2022-12-14T22:27:30.546000Z,2022-12-14T22:44:07.726000Z,,2022-12-14T22:44:08.091617Z,998,CZELI6JD,323,English,Ambidextrous,36,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
