subject	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude_long_duration	exclude	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response
596fea64a5c32a0001584755	z	95	80	96.875	85.15625	96.875	84.375	84.375	75	1056.5	1058.5	1116	1293	1098	700.419	0	0	0	0	0	0	25	12.5	25	12.5	75	30	US	Female	16	White	No	No	NA	NA
59715b4b50e2f000016fe00e	slash	80	80	3.125	99.21875	100	100	96.875	100	123.5	166	114.5	167	152	464.707	1	0	1	0	0	1	25	25	25	25	100	37	US	Male	16	White	No	No	NA	NA
59a07638bfd73c00010ea394	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59b0106d834a170001d6061c	z	97.5	96.25	90.625	98.4375	100	96.875	96.875	100	873	866.5	880.5	766	845.5	676.087	0	0	0	0	0	0	-25	-25	-25	-25	-100	38	US	Female	16	White	No	NA	NA	NA
59d5c894c732930001d88b5e	slash	91.25	97.5	96.875	93.75	96.875	93.75	96.875	87.5	931	910	944	961.5	940	860.04	0	0	0	0	0	0	25	25	0	12.5	62.5	30	US	Male	16	White	Yes	No	NA	none
59d662aa0c0c7100015b9af6	z	98.75	96.25	96.875	97.65625	100	96.875	100	93.75	498	540	544.5	523	523	1606.912	0	0	0	0	0	0	25	25	25	25	100	40	US	Male	16	Asian	No	No	NA	NA
5a01e188ab721b0001ef7134	z	100	100	100	100	100	100	100	100	743.5	850	706	814.5	769.5	699.944	0	0	0	0	0	0	-25	-12.5	-25	-25	-87.5	36	US	Male	14	White	No	No	NA	NA
5a04869ff2e3460001edad2e	z	93.75	93.75	75	98.4375	96.875	96.875	100	100	911.5	917	898	912	912.5	935.733	0	0	0	0	0	0	25	25	25	25	100	31	US	Male	12	White	No	No	NA	NA
5a348ea750833c0001ee9550	slash	98.75	93.75	81.25	100	100	100	100	100	511.5	489	496	486	496.5	663.315	0	0	0	0	0	0	25	0	-25	-25	-25	35	US	Female	16	White	No	No	NA	NA
5a35ecbf57d4450001236fd3	z	92.5	92.5	78.125	96.09375	96.875	90.625	96.875	100	881	865	873	916.5	884.5	635.485	0	0	0	0	0	0	-25	-25	-25	-25	-100	30	US	Male	18	Multiple	No	No	NA	NA
5a5e94a7eedc32000142cd08	z	90	95	84.375	94.53125	100	100	90.625	87.5	434.5	491	480	580	498	719.298	0	0	0	0	0	0	25	25	25	25	100	26	US	Male	12	White	No	No	NA	NA
5a6ff39ef660ae0001a9837e	slash	83.75	87.5	71.875	89.0625	87.5	100	90.625	78.125	582	558	570.5	560.5	569.5	1529.713	0	0	0	0	0	0	12.5	25	12.5	25	75	25	US	Female	12	White	No	No	NA	NA
5a78dbb9ae9a0b0001a97212	z	92.5	91.25	93.75	91.40625	96.875	93.75	78.125	96.875	846	823.5	955.5	857.5	856.5	677.646	0	0	0	0	0	0	25	25	25	25	100	35	US	Male	16	White	No	No	NA	NA
5a7ab4c0f1408d0001761db7	slash	97.5	95	84.375	99.21875	100	100	96.875	100	384.5	379.5	384	364	380.5	631.04	0	0	0	0	0	0	25	25	25	25	100	24	US	Female	16	Asian	No	No	NA	NA
5a94ca1a873cda0001dc7147	slash	88.75	96.25	96.875	91.40625	100	96.875	78.125	90.625	818	863	1043	865.5	876.5	694.143	0	0	0	0	0	0	25	12.5	12.5	12.5	62.5	32	US	Male	16	White	No	No	NA	NA
5a98b39b89de8200013ef94f	z	100	93.75	90.625	98.4375	100	93.75	100	100	1091.5	1056	989	1086	1060.5	687.745	0	0	0	0	0	0	25	25	25	25	100	25	US	Male	16	Black or African American	No	No	NA	NA
5a9dd8b1873cda00010d18c5	slash	83.75	85	68.75	88.28125	90.625	93.75	81.25	87.5	433	482.5	513	514.5	486	837.938	0	0	0	0	0	0	25	12.5	25	12.5	75	28	US	Female	12	White	No	No	NA	NA
5aa3609e6475f90001a04905	slash	92.5	88.75	53.125	100	100	100	100	100	442	423.5	501	428.5	440	517.153	0	0	0	0	0	0	25	12.5	12.5	25	75	25	US	Female	14	White	No	Yes	NA	Thank you for the opportunity to participate.
5aa6e29435237b0001130d68	z	96.25	92.5	90.625	95.3125	100	93.75	87.5	100	553.5	549	587	603.5	571.5	618.215	0	0	0	0	0	0	-25	-25	-12.5	-25	-87.5	27	US	Female	18	Asian	No	No	NA	NA
5aadbe52811b2000016f7633	z	97.5	96.25	87.5	99.21875	100	96.875	100	100	402.5	478.5	448.5	409.5	425	823.573	0	0	0	0	0	0	-25	-25	-25	-25	-100	36	US	Male	18	White	No	No	NA	NA
5ab7c19e1667e40001d7cd93	z	96.25	92.5	75	99.21875	100	100	96.875	100	471	466	515	480.5	475	657.271	0	0	0	0	0	0	25	25	25	25	100	30	US	Female	16	White	No	No	NA	NA
5ac5300f9534ba0001c7446b	slash	96.25	95	93.75	96.09375	100	100	96.875	87.5	426.5	460.5	664.5	554	503	621.306	0	0	0	0	0	0	-25	12.5	12.5	-25	-25	39	US	Male	16	White	No	No	NA	NA
5ac6ca185cd105000162499d	slash	96.25	93.75	84.375	97.65625	100	96.875	93.75	100	728.5	711	710.5	751	733.5	683.743	0	0	0	0	0	0	25	25	25	25	100	33	US	Female	21	White	No	No	NA	NA
5ad7835e9c198c0001fad31a	slash	91.25	88.75	53.125	99.21875	100	100	100	96.875	960.5	969.5	940	940	945.5	832.392	0	0	0	0	0	0	25	25	25	25	100	34	US	Female	12	White	No	No	NA	NA
5adef850eb60400001539109	z	95	97.5	100	95.3125	93.75	87.5	100	100	809	725.5	746.5	800	773	649.331	0	0	0	0	0	0	25	25	25	25	100	25	US	Male	12	White	Yes	No	NA	NA
5adf3828dee8590001b05860	slash	82.5	80	9.375	99.21875	100	100	96.875	100	379.5	465	473	512	462.5	661.125	1	0	0	0	0	1	25	25	25	25	100	35	US	Male	16	White	No	No	NA	NA
5ae3a41d32ef52000131a531	slash	93.75	95	87.5	96.09375	96.875	96.875	100	90.625	814	852.5	830.5	922	851	729.752	0	0	0	0	0	0	25	0	0	0	25	24	US	Male	12	Black or African American	No	No	NA	NA
5aee513f3606ab0001b92b29	slash	95	96.25	93.75	96.09375	100	100	90.625	93.75	782.5	816	815	853.5	821	588.153	0	0	0	0	0	0	-25	25	-25	-25	-50	37	US	Male	12	White	No	No	NA	NA
5aee59100ccc2e000185937c	slash	95	97.5	90.625	97.65625	96.875	96.875	100	96.875	857	882.5	873.5	866	867.5	1056.266	0	0	0	0	0	0	25	25	12.5	12.5	75	35	US	Female	14	White	No	No	NA	NA
5af238825847970001e34baf	z	96.25	97.5	96.875	96.875	96.875	96.875	96.875	96.875	660	687.5	676	666.5	675	633.402	0	0	0	0	0	0	-25	-25	-25	-25	-100	22	US	Female	12	White	No	No	NA	NA
5af309960eca060001b15b47	slash	91.25	86.25	59.375	96.09375	96.875	90.625	100	96.875	467	499	496	516.5	499.5	732.525	0	0	0	0	0	0	-25	25	-25	-25	-50	25	US	Male	16	White	No	No	NA	NA
5af491b6222e4d0001877572	slash	91.25	91.25	62.5	98.4375	100	96.875	100	96.875	524.5	553.5	573.5	500	533.5	720.339	0	0	0	0	0	0	25	25	25	25	100	40	US	Female	16	White	No	No	NA	NA
5b066e00f58f8400018b0906	z	95	95	78.125	99.21875	100	100	96.875	100	388.5	375	459	449	411	1152.519	0	0	0	0	0	0	25	25	12.5	25	87.5	33	US	Male	12	White	No	No	NA	NA
5b0cb441444cef0001ca5fbd	z	78.75	77.5	9.375	95.3125	100	90.625	90.625	100	171	174	148.5	178.5	171.5	466.02	0	0	1	0	0	1	-25	25	-25	-12.5	-37.5	38	US	Male	14	Multiple	No	No	NA	NA
5b15307351caaf0001228d9b	z	98.75	96.25	90.625	99.21875	100	96.875	100	100	714	747	706	725	728.5	930.677	0	0	0	0	0	0	25	25	25	25	100	32	US	Female	12	White	No	No	NA	no
5b3e2334cdb4ce0001d93c51	z	95	98.75	96.875	96.875	96.875	96.875	96.875	96.875	701	687.5	685.5	679	692.5	536.795	0	0	0	0	0	0	25	25	25	12.5	87.5	34	US	Male	16	White	Yes	Not sure (please explain):	Yes very similar but having to press different keys for different shape. Not this exact study.	NA
5b48a9e14acd54000132a67f	z	88.75	91.25	65.625	96.09375	100	100	87.5	96.875	453.5	465	542	441.5	451.5	587.816	0	0	0	0	0	0	-25	25	25	25	50	38	US	Male	16	White	No	No	NA	NA
5b5c8d4e10aec90001ed4bee	slash	95	97.5	90.625	97.65625	100	93.75	96.875	100	406.5	509.5	452	517.5	461.5	476.662	0	0	0	0	0	0	-25	0	-25	-25	-75	23	US	Female	16	White	No	No	NA	NA
