subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt	first_block	acc_slash	acc_z	acc_absent	acc_present	acc_global_LVF	acc_global_RVF	acc_local_LVF	acc_local_RVF	rt_global_LVF	rt_global_RVF	rt_local_LVF	rt_local_RVF	rt_overall	duration_s	exclude_many_gos	exclude_low_acc	exclude_low_rt	exclude_high_rt	exclude	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response
59a07638bfd73c00010ea394	96657	1	practice	z	1	absent	absent	absent	no	absent	1	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	101288	1	practice	z	2	absent	absent	absent	no	absent	1	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	104746	1	practice	z	3	circle	global	LVF	yes	present	1	1122	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	108554	1	practice	z	4	square	local	LVF	yes	present	1	1263	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	111801	1	practice	z	5	circle	global	RVF	yes	present	1	1174	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	115012	1	practice	z	6	square	global	LVF	yes	present	1	909	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	119028	1	practice	z	7	square	global	LVF	yes	absent	0	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	122385	1	practice	z	8	square	local	LVF	yes	present	1	1174	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	125595	1	practice	z	9	absent	absent	absent	no	present	0	1214	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	128641	1	practice	z	10	circle	local	RVF	yes	present	1	950	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	131987	1	practice	z	11	circle	global	LVF	yes	present	1	1216	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	135369	1	practice	z	12	circle	local	RVF	yes	present	1	1141	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	138409	1	practice	z	13	square	global	RVF	yes	present	1	998	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	141449	1	practice	z	14	circle	global	RVF	yes	present	1	1045	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	145260	1	practice	z	15	absent	absent	absent	no	absent	1	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	148115	1	practice	z	16	circle	local	RVF	yes	present	1	790	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	151809	2	main	z	1	square	local	RVF	yes	present	1	904	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	154081	2	main	z	2	square	local	RVF	yes	present	1	765	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	156313	2	main	z	3	circle	local	LVF	yes	present	1	933	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	159516	2	main	z	4	absent	absent	absent	no	absent	1	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	162469	2	main	z	5	absent	absent	absent	no	absent	1	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	165476	2	main	z	6	square	global	LVF	yes	absent	0	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	167329	2	main	z	7	square	local	RVF	yes	present	1	829	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	169561	2	main	z	8	square	local	LVF	yes	present	1	821	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	172379	2	main	z	9	square	local	RVF	yes	present	1	1596	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	174603	2	main	z	10	circle	global	RVF	yes	present	1	1039	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	176737	2	main	z	11	circle	global	RVF	yes	present	1	948	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	179041	2	main	z	12	circle	local	RVF	yes	present	1	1117	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	181105	2	main	z	13	square	global	RVF	yes	present	1	877	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	183265	2	main	z	14	circle	local	RVF	yes	present	1	894	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	186412	2	main	z	15	absent	absent	absent	no	absent	1	2000	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	188457	2	main	z	16	square	global	RVF	yes	present	1	941	z	97.5	95	96.875	96.09375	96.875	90.625	96.875	100	838	815	837	837	837	531.234	0	0	0	0	0	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
