subject	age	country	sex	education	race	hispanic_ethnicity
59a07638bfd73c00010ea394	23	US	Male	12	Black or African American	No
5dd29e4e2274972a5d4ada96	24	US	Male	16	White	No
5dee933631a7e05381da6b02	33	US	Male	16	Black or African American	No
5e5731e3e1e8b90e25c1f3a2	40	US	Male	16	White	No
612d20ea1043719545f90f62	36	TW	Male	21	Asian	No
62b9cf42a63194f71fc0a393	23	US	Female	16	American Indian or Alaska Native	No
630ab689392291ba70d7fd3d	21	US	Male	12	White	No
631b593a9bb21bb86ea260a7	24	US	Male	16	White	Yes
633d9eb9721ed1d1b6df11af	27	US	Male	16	White	No
63616c4bc6ecb76a9f0a5f21	20	US	Male	12	White	No
