subject,time_elapsed_ms,blocknum,block,trialnum,target_present,response,response_log,correct,rt,block_type
771848328,30318,1,practice_z,1,yes,present,1,1,450,practice
771848328,32702,1,practice_z,2,yes,present,1,1,352,practice
771848328,35201,1,practice_z,3,yes,present,1,1,518,practice
771848328,37628,1,practice_z,4,no,present,1,0,414,practice
771848328,39951,1,practice_z,5,yes,present,1,1,339,practice
771848328,43929,1,practice_z,6,no,absent,0,1,2000,practice
771848328,48009,1,practice_z,7,no,absent,0,1,2000,practice
771848328,50055,1,practice_z,8,yes,present,1,1,380,practice
771848328,53262,1,practice_z,9,yes,present,1,1,556,practice
771848328,56017,1,practice_z,10,yes,present,1,1,444,practice
771848328,58507,1,practice_z,11,yes,present,1,1,385,practice
771848328,60894,1,practice_z,12,yes,present,1,1,326,practice
771848328,64919,1,practice_z,13,no,absent,0,1,2000,practice
771848328,67344,1,practice_z,14,yes,present,1,1,428,practice
771848328,69983,1,practice_z,15,yes,present,1,1,536,practice
771848328,72474,1,practice_z,16,yes,present,1,1,344,practice
771848328,75534,2,main_z,1,yes,present,1,1,359,main
771848328,77210,2,main_z,2,yes,present,1,1,351,main
771848328,78659,2,main_z,3,yes,present,1,1,383,main
771848328,80022,2,main_z,4,yes,present,1,1,376,main
771848328,81351,2,main_z,5,yes,present,1,1,313,main
771848328,82642,2,main_z,6,no,present,1,0,322,main
771848328,84085,2,main_z,7,yes,present,1,1,348,main
771848328,85431,2,main_z,8,yes,present,1,1,394,main
771848328,88353,2,main_z,9,no,absent,0,1,2000,main
771848328,89893,2,main_z,10,yes,present,1,1,593,main
771848328,91404,2,main_z,11,yes,present,1,1,487,main
771848328,92764,2,main_z,12,yes,present,1,1,414,main
771848328,94115,2,main_z,13,yes,present,1,1,367,main
771848328,97215,2,main_z,14,no,absent,0,1,2000,main
771848328,100164,2,main_z,15,no,absent,0,1,2000,main
771848328,101672,2,main_z,16,yes,present,1,1,527,main
771848328,103142,2,main_z,17,yes,present,1,1,347,main
771848328,106144,2,main_z,18,no,absent,0,1,2000,main
771848328,107551,2,main_z,19,yes,present,1,1,392,main
771848328,108939,2,main_z,20,yes,present,1,1,396,main
771848328,110328,2,main_z,21,yes,present,1,1,403,main
771848328,111716,2,main_z,22,yes,present,1,1,408,main
771848328,113064,2,main_z,23,yes,present,1,1,392,main
771848328,114484,2,main_z,24,yes,present,1,1,412,main
771848328,115821,2,main_z,25,yes,present,1,1,349,main
771848328,117289,2,main_z,26,yes,present,1,1,451,main
771848328,118624,2,main_z,27,yes,present,1,1,387,main
771848328,121686,2,main_z,28,no,absent,0,1,2000,main
771848328,124601,2,main_z,29,no,absent,0,1,2000,main
771848328,125916,2,main_z,30,yes,present,1,1,365,main
771848328,127178,2,main_z,31,yes,present,1,1,295,main
771848328,128365,2,main_z,32,yes,present,1,1,284,main
771848328,129624,2,main_z,33,yes,present,1,1,342,main
771848328,132631,2,main_z,34,no,absent,0,1,2000,main
771848328,133992,2,main_z,35,yes,present,1,1,412,main
771848328,135372,2,main_z,36,yes,present,1,1,426,main
771848328,136726,2,main_z,37,yes,present,1,1,380,main
771848328,138279,2,main_z,38,yes,present,1,1,517,main
771848328,139697,2,main_z,39,yes,present,1,1,321,main
771848328,141089,2,main_z,40,yes,present,1,1,380,main
771848328,142381,2,main_z,41,yes,present,1,1,290,main
771848328,143690,2,main_z,42,yes,present,1,1,331,main
771848328,146740,2,main_z,43,no,absent,0,1,2000,main
771848328,149706,2,main_z,44,no,absent,0,1,2000,main
771848328,151061,2,main_z,45,yes,present,1,1,390,main
771848328,154137,2,main_z,46,no,absent,0,1,2000,main
771848328,155512,2,main_z,47,yes,present,1,1,343,main
771848328,158502,2,main_z,48,no,absent,0,1,2000,main
771848328,160048,2,main_z,49,yes,present,1,1,465,main
771848328,161358,2,main_z,50,yes,present,1,1,327,main
771848328,162689,2,main_z,51,yes,present,1,1,307,main
771848328,164199,2,main_z,52,yes,present,1,1,467,main
771848328,167214,2,main_z,53,no,absent,0,1,2000,main
771848328,168670,2,main_z,54,yes,present,1,1,393,main
771848328,170348,2,main_z,55,yes,present,1,1,420,main
771848328,171829,2,main_z,56,yes,present,1,1,382,main
771848328,173214,2,main_z,57,yes,present,1,1,353,main
771848328,174483,2,main_z,58,yes,present,1,1,240,main
771848328,175926,2,main_z,59,yes,present,1,1,417,main
771848328,177385,2,main_z,60,yes,present,1,1,327,main
771848328,178738,2,main_z,61,yes,present,1,1,377,main
771848328,181723,2,main_z,62,no,absent,0,1,2000,main
771848328,183121,2,main_z,63,yes,present,1,1,381,main
771848328,184426,2,main_z,64,yes,present,1,1,306,main
771848328,187404,2,main_z,65,no,absent,0,1,2000,main
771848328,188733,2,main_z,66,yes,present,1,1,348,main
771848328,190083,2,main_z,67,yes,present,1,1,376,main
771848328,191347,2,main_z,68,yes,present,1,1,314,main
771848328,192605,2,main_z,69,yes,present,1,1,273,main
771848328,193935,2,main_z,70,yes,present,1,1,336,main
771848328,195233,2,main_z,71,yes,present,1,1,301,main
771848328,196496,2,main_z,72,yes,present,1,1,280,main
771848328,197865,2,main_z,73,yes,present,1,1,400,main
771848328,199179,2,main_z,74,yes,present,1,1,331,main
771848328,200493,2,main_z,75,yes,present,1,1,330,main
771848328,201877,2,main_z,76,yes,present,1,1,377,main
771848328,203166,2,main_z,77,yes,present,1,1,305,main
