subject	time_elapsed_ms	blocknum	block	trialnum	target_present	response	response_log	correct	rt	block_type
967837532	216465	1	practice_z	1	yes	absent	0	0	2000	practice
967837532	221529	1	practice_z	2	yes	absent	0	0	2000	practice
967837532	226262	1	practice_z	3	yes	absent	0	0	2000	practice
967837532	229845	1	practice_z	4	yes	present	1	1	832	practice
967837532	234445	1	practice_z	5	no	absent	0	1	2000	practice
967837532	238994	1	practice_z	6	no	absent	0	1	2000	practice
967837532	242034	1	practice_z	7	yes	present	1	1	623	practice
967837532	246445	1	practice_z	8	no	absent	0	1	2000	practice
967837532	250088	1	practice_z	9	yes	present	1	1	611	practice
967837532	254811	1	practice_z	10	yes	absent	0	0	2000	practice
967837532	262296	1	practice_z	11	yes	present	1	1	935	practice
967837532	265920	1	practice_z	12	yes	present	1	1	593	practice
967837532	269063	1	practice_z	13	yes	present	1	1	602	practice
967837532	273279	1	practice_z	14	yes	absent	0	0	2000	practice
967837532	278128	1	practice_z	15	no	absent	0	1	2000	practice
967837532	281513	1	practice_z	16	yes	present	1	1	852	practice
967837532	296711	2	main_z	1	yes	absent	0	0	2000	main
967837532	298892	2	main_z	2	yes	present	1	1	698	main
967837532	301319	2	main_z	3	yes	present	1	1	525	main
967837532	303319	2	main_z	4	yes	present	1	1	809	main
967837532	306260	2	main_z	5	yes	absent	0	0	2000	main
967837532	310111	2	main_z	6	yes	absent	0	0	2000	main
967837532	313311	2	main_z	7	no	absent	0	1	2000	main
967837532	315128	2	main_z	8	yes	present	1	1	651	main
967837532	319010	2	main_z	9	no	absent	0	1	2000	main
967837532	321215	2	main_z	10	yes	present	1	1	605	main
967837532	325577	2	main_z	11	yes	absent	0	0	2000	main
967837532	327775	2	main_z	12	yes	present	1	1	765	main
967837532	331383	2	main_z	13	yes	present	1	1	1239	main
967837532	334894	2	main_z	14	yes	absent	0	0	2000	main
967837532	337452	2	main_z	15	yes	present	1	1	692	main
967837532	340960	2	main_z	16	no	absent	0	1	2000	main
967837532	344244	2	main_z	17	yes	absent	0	0	2000	main
967837532	346236	2	main_z	18	yes	present	1	1	925	main
967837532	349728	2	main_z	19	yes	absent	0	0	2000	main
967837532	352878	2	main_z	20	yes	absent	0	0	2000	main
967837532	354903	2	main_z	21	yes	present	1	1	610	main
967837532	358794	2	main_z	22	yes	absent	0	0	2000	main
967837532	361000	2	main_z	23	yes	present	1	1	573	main
967837532	363125	2	main_z	24	yes	present	1	1	848	main
967837532	365036	2	main_z	25	yes	present	1	1	693	main
967837532	368061	2	main_z	26	yes	absent	0	0	2000	main
967837532	371228	2	main_z	27	no	absent	0	1	2000	main
967837532	374477	2	main_z	28	no	absent	0	1	2000	main
967837532	378193	2	main_z	29	no	absent	0	1	2000	main
967837532	381627	2	main_z	30	no	absent	0	1	2000	main
967837532	384223	2	main_z	31	yes	present	1	1	563	main
967837532	387461	2	main_z	32	yes	absent	0	0	2000	main
967837532	389610	2	main_z	33	yes	present	1	1	750	main
967837532	393860	2	main_z	34	no	absent	0	1	2000	main
967837532	397245	2	main_z	35	yes	present	1	1	585	main
967837532	400626	2	main_z	36	yes	absent	0	0	2000	main
967837532	402430	2	main_z	37	yes	present	1	1	587	main
967837532	404894	2	main_z	38	yes	present	1	1	701	main
967837532	408111	2	main_z	39	yes	absent	0	0	2000	main
967837532	411377	2	main_z	40	yes	absent	0	0	2000	main
967837532	415011	2	main_z	41	yes	absent	0	0	2000	main
967837532	417204	2	main_z	42	yes	present	1	1	695	main
967837532	421427	2	main_z	43	no	absent	0	1	2000	main
967837532	425044	2	main_z	44	yes	absent	0	0	2000	main
967837532	426928	2	main_z	45	yes	present	1	1	635	main
967837532	430343	2	main_z	46	yes	absent	0	0	2000	main
967837532	434011	2	main_z	47	yes	absent	0	0	2000	main
967837532	436878	2	main_z	48	yes	absent	0	0	2000	main
967837532	439016	2	main_z	49	yes	present	1	1	606	main
967837532	442477	2	main_z	50	no	absent	0	1	2000	main
967837532	446377	2	main_z	51	no	absent	0	1	2000	main
967837532	448387	2	main_z	52	yes	present	1	1	594	main
967837532	450554	2	main_z	53	yes	present	1	1	577	main
967837532	452630	2	main_z	54	yes	present	1	1	936	main
967837532	454829	2	main_z	55	yes	present	1	1	1036	main
967837532	459094	2	main_z	56	yes	absent	0	0	2000	main
967837532	461103	2	main_z	57	yes	present	1	1	475	main
967837532	464494	2	main_z	58	yes	absent	0	0	2000	main
967837532	470079	2	main_z	59	yes	absent	0	0	2000	main
967837532	473195	2	main_z	60	yes	absent	0	0	2000	main
967837532	475295	2	main_z	61	yes	present	1	1	519	main
967837532	477705	2	main_z	62	yes	present	1	1	695	main
967837532	480861	2	main_z	63	no	absent	0	1	2000	main
967837532	482677	2	main_z	64	yes	present	1	1	567	main
967837532	486145	2	main_z	65	yes	absent	0	0	2000	main
967837532	487773	2	main_z	66	yes	present	1	1	546	main
967837532	490017	2	main_z	67	yes	present	1	1	506	main
967837532	491819	2	main_z	68	yes	present	1	1	542	main
967837532	494794	2	main_z	69	no	absent	0	1	2000	main
967837532	496573	2	main_z	70	yes	present	1	1	463	main
967837532	499677	2	main_z	71	yes	absent	0	0	2000	main
967837532	504860	2	main_z	72	yes	absent	0	0	2000	main
967837532	509693	2	main_z	73	yes	absent	0	0	2000	main
967837532	511689	2	main_z	74	yes	present	1	1	512	main
967837532	515410	2	main_z	75	no	absent	0	1	2000	main
967837532	519010	2	main_z	76	no	absent	0	1	2000	main
967837532	522144	2	main_z	77	yes	absent	0	0	2000	main
967837532	525228	2	main_z	78	no	absent	0	1	2000	main
967837532	528711	2	main_z	79	yes	absent	0	0	2000	main
967837532	531961	2	main_z	80	yes	absent	0	0	2000	main
967837532	551396	3	practice_slash	1	no	absent	0	1	2000	practice
967837532	556496	3	practice_slash	2	no	absent	0	1	2000	practice
